GPP Account Number,GPP Client Name,Place of Settlement,Sub Custodian BIC,Beneficiary BIC,Security Account,Additional Information
GPP003288,BOF Assets Limited - CASS,SLOVAK REPUBLIC - CENTRALNY DEPOZITAR CENNYCH PAPIEROV SR A.S. - CSDSSKBAXXX,CITISKBAXXX,IRVTUS3NIBK,86793,CSD ID: 990000000116
GPP003288,BOF Assets Limited - CASS,SOUTH AFRICA - STRATE Ltd - STRAZAJJ,SBZAZAJJXXX,IRVTUS3NIBK,1.20032E+11,CSD ID: ZA100086
GPP003288,BOF Assets Limited - CASS,SPAIN - Iberclear - IBRCESMM,BBVAESMMXXX,IRVTUS3NIBK,179371073,CSD ID: IBRCBBVAESMMXXX000000006T0EX0000003 *Registration name to be confirmed at time of trade*
GPP003288,BOF Assets Limited - CASS,SWEDEN - Vardepapperscentralen VPC AB - VPCSSESS,ESSESESS,IRVTUS3NIBK,1100378707,
GPP003288,BOF Assets Limited - CASS,SWITZERLAND - SIS - SEGAINTERSETTLE AG - INSECHZZ,CRESCHZZ80A,IRVTUS3NIBK,0835-2423807-45-986,CSD ID: CH100164
GPP003288,BOF Assets Limited - CASS,THAILAND - Thailand Securities Depository Co. Ltd. - TSDCTHBK,HSBCTHBK,IRVTUS3NIBK,002-246106-394,
GPP003288,BOF Assets Limited - CASS,THE NETHERLANDS - Euroclear Netherlands - NECINL2AXXX,IRVTBEBBDCP,IRVTBEBBDCP,NECIIRVTBEBBDCP000LM065,
GPP003288,BOF Assets Limited - CASS,U.K. - Euroclear UK and Ireland LTD (previously known as CRESTCO LTD) - CRSTGB22,IRVTGB2X,IRVTUS3NIBK,672938,"Equities & Corps = CREST ID: BO01 / Gilts = CREST ID: BKNY1
"
GPP003288,BOF Assets Limited - CASS,U.S. - Federal Reserve Bank (FED) - FRNYUS33,IRVTUS3N,IRVTUS3NIBK,672938,021000018/CUST/672938
GPP003288,BOF Assets Limited - CASS,U.S. - The Depository Trust Company (DTCC) - DTCYUS33,IRVTUS3N,IRVTUS3NIBK,672938,DTC# 0901 a/c 672938Agent Bank ID: 93034 Institutional ID: 95441 TSID:97303
GPP003289,BOF Assets Limited - Clearing,AUSTRALIA - Austraclear Limited - ACLRAU2S,CITIAU3X,IRVTUS3NIBK,2068030116,PSET: ACLRAU2SCSD ID: CITI35
GPP003289,BOF Assets Limited - Clearing,AUSTRALIA - Clearing House Electronic Subregister System (CHESS) - CAETAU21,CITIAU3X,IRVTUS3NIBK,2068030116,PSET: CAETAU21CHESS PID 20018
GPP003289,BOF Assets Limited - Clearing,AUSTRIA - Oesterreichische Kontrollbank AG (OeKB) - OCSDATWWXXX,BKAUATWWXXX,IRVTUS3NIBK,51010004367,CSD ID: OCSD222100
GPP003289,BOF Assets Limited - Clearing,BELGIUM -  Belgium (National Bank of Belgium) - NBBEBEBB216,IRVTBEBBDCP,IRVTBEBBDCP,NBBEIRVTBEBBDCP0000008,PSET: NBBEBEBB216
GPP003289,BOF Assets Limited - Clearing,BELGIUM - Belgium (Euronext) - CIKBBEBBXXX,IRVTBEBBDCP,IRVTBEBBDCP,CIKBIRVTBEBBDCP000LM439,PSET: CIKBBEBBXXX
GPP003289,BOF Assets Limited - Clearing,CANADA - The Canadian Depository for Securities Limited  - CDSLCATT,CMTYCATTXXX,IRVTUS3NIBK,458514,CSD ID: CMTC
GPP003289,BOF Assets Limited - Clearing,DENMARK - VP A/S - the Danish Securities Centre - VPDKDKKKXXX,ESSEDKKKXXX,IRVTUS3NIBK,5295242444,
GPP003289,BOF Assets Limited - Clearing,EUROCLEAR - Euroclear Bank - MGTCBEBE,MGTCBEBEECL,IRVTUS3NIBK,44382,
GPP003289,BOF Assets Limited - Clearing,FINLAND - Finnish Central Securities Depository Ltd (APK) - APKEFIHHXXX,ESSEFIHXXXX,IRVTUS3NIBK,10-100 302 255,
GPP003289,BOF Assets Limited - Clearing,FRANCE - Euroclear France (Ex Sicovam) - SICVFRPPXXX,IRVTBEBBDCP,IRVTBEBBDCP,SICVIRVTBEBBDCP000LM439,
GPP003289,BOF Assets Limited - Clearing,GERMANY - Clearstream Banking Frankfurt - DAKVDEFFXXX,IRVTBEBBDCP,IRVTBEBBDCP,DAKV7297010,
GPP003289,BOF Assets Limited - Clearing,GREECE - Bank of Greece - BNGRGRAASSS,CITIGRAAXXX,IRVTUS3NIBK,819614,PSET: BNGRGRAAXXX
GPP003289,BOF Assets Limited - Clearing,GREECE - Central Securities Depository S.A. (CSD) - HCSDGRAAXXX,CITIGRAAXXX,IRVTUS3NIBK,819614,PSET: HCSDGRAAXXX
GPP003289,BOF Assets Limited - Clearing,HONG KONG - Central Moneymarkets Unit (CMU) Hong Kong Monetary Authority - HKMAHKHC,CITIHKHX,IRVTUS3NIBK,5005670056,"Bonds
CCASS# - CIHK
PSET - HKMAHKHC"
GPP003289,BOF Assets Limited - Clearing,HONG KONG - Hongkong Securities Clearing Company Limited  (Hongkong Clearing) - XHKCHKH1,CITIHKHX,IRVTUS3NIBK,5005670056,"Equities
CCASS# - C00010
PSET - XHKCHKH1"
GPP003289,BOF Assets Limited - Clearing,IRELAND - Euroclear UK and Ireland LTD (previously known as CRESTCO LTD) - CRSTGB22,GPPLGB21XXX,GPPLGB21XXX,CC0293,CREST ID : KBUAG
GPP003289,BOF Assets Limited - Clearing,ISRAEL - TASE Clearing house - XTAEILIT,POALILITXXX,IRVTUS3NIBK,600-455657,CSD ID: 1123
GPP003289,BOF Assets Limited - Clearing,ITALY - Monte Titoli spa - MOTIITMM,IRVTBEBBDCP,IRVTBEBBDCP,MOTIIRVTBEBBDCP6068400,CSD ID: 60684
GPP003289,BOF Assets Limited - Clearing,JAPAN - Japan Securities Depository Centre (Jasdec) - JJSDJPJT,BOTKJPJT,IRVTUS3NIBK,100307569,CSD IDEquities & Corp Bonds only: 00580
GPP003289,BOF Assets Limited - Clearing,MEXICO - S.D. INDEVAL S.A. DE C.V. (INDEVAL)  - INDEMXMM,BSMXMXMMXXX,IRVTUS3NIBK,1033421,CSD ID : 021016806
GPP003289,BOF Assets Limited - Clearing,MOROCCO - Maroclear - MAROMAM1,CITIMAMC,IRVTUS3NIBK,4005618180,CSD ID: 121
GPP003289,BOF Assets Limited - Clearing,NEW ZEALAND - New Zealand Central Securities Depository (Reserve Bank of New Zealand) - RBNZNZ22XXX,HSBCNZ2A,IRVTUS3NIBK,040-003774-212,CSD ID: HKBN90
GPP003289,BOF Assets Limited - Clearing,NORWAY - Verdipapirsentralen (VPS) - VPSNNOKK,ESSENOKX,IRVTUS3NIBK,97500267824,CSD ID: 09750
GPP003289,BOF Assets Limited - Clearing,PHILIPPINES - Philippine Central Depository Inc.  (PCD) - PHCDPHM1,SCBLPHMM,IRVTUS3NIBK,1.35716E+11,
GPP003289,BOF Assets Limited - Clearing,PORTUGAL - Interbolsa - IBLSPTPP,CITIPTPXXXX,IRVTUS3NIBK,7001933657,CSD ID Equities IBLSCITIPTPXXXXSA000000005280000054CSD ID Bonds: IBLSCITIPTPXXXXSA000000005280000062
GPP003289,BOF Assets Limited - Clearing,SINGAPORE - The Central Depository (Pte) Limited (CDP) - CDPLSGSG,DBSSSGSGIBD,IRVTUS3NIBK,SG0333300187,Equities / Corp Bonds: 561PSET CDPLSGSGGov Bonds: 7171PSET MASGSGSM
GPP003289,BOF Assets Limited - Clearing,SOUTH AFRICA - STRATE Ltd - STRAZAJJ,SBZAZAJJ,IRVTUS3NIBK,1.20032E+11,CSD ID: ZA100086
GPP003289,BOF Assets Limited - Clearing,SPAIN - Iberclear - IBRCESMM,BBVAESMMXXX,IRVTUS3NIBK,179370921,CSD ID:IBRCBBVAESMMXXX000000006T0EX0000003 *Registration name to be confirmed at time of trade*
GPP003289,BOF Assets Limited - Clearing,SWEDEN - Vardepapperscentralen VPC AB - VPCSSESS,ESSESESS,IRVTUS3NIBK,1100378693,
GPP003289,BOF Assets Limited - Clearing,SWITZERLAND - SIS - SEGAINTERSETTLE AG - INSECHZZ,CRESCHZZ80A,IRVTUS3NIBK,0835-2423807-45-982,CSD ID: CH100164
GPP003289,BOF Assets Limited - Clearing,THAILAND - Thailand Securities Depository Co. Ltd. - TSDCTHBK,HSBCTHBK,IRVTUS3NIBK,002-231652-443,
GPP003289,BOF Assets Limited - Clearing,THE NETHERLANDS - Euroclear Netherlands - NECINL2AXXX,IRVTBEBBDCP,IRVTBEBBDCP,NECIIRVTBEBBDCP000LM439,
GPP003289,BOF Assets Limited - Clearing,U.K. - Euroclear UK and Ireland LTD (previously known as CRESTCO LTD) - CRSTGB22,IRVTGB2X,IRVTUS3NIBK,458514,"Equities & Corps = CREST ID: BO01 / Gilts = CREST ID: BKNY1
"
GPP003289,BOF Assets Limited - Clearing,U.S. - Federal Reserve Bank (FED) - FRNYUS33,IRVTUS3N,IRVTUS3NIBK,458515,021000018/CUST/458515
GPP003289,BOF Assets Limited - Clearing,U.S. - The Depository Trust Company (DTCC) - DTCYUS33,IRVTUS3N,IRVTUS3NIBK,458515,DTC# 2648Agent Bank ID: 62865 Institutional ID: 62865 TSID:87303
